Specimen properties : Specimen label,Nylon 6,
Specimen text inputs : Specimen Name,Nylon 6,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,20,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
12.2,4.067,677.0716
12.22,4.0739,677.5743
12.24,4.0807,678.1161
12.26,4.0872,678.6657
12.28,4.0938,679.1439
12.3,4.1008,679.6183
12.32,4.1074,680.1429
12.34,4.1141,680.6769
12.36,4.1213,681.189
12.38,4.128,681.7675
12.4,4.1344,682.3029
12.42,4.1408,682.7413
12.44,4.1475,683.1269
12.46,4.1539,683.5505
12.48,4.1602,683.9523
12.5,4.167,684.3546
12.52,4.1737,684.8663
12.54,4.1802,685.3958
12.56,4.187,685.8585
12.58,4.1938,686.3227
12.6,4.2005,686.8683
12.62,4.2073,687.3777
12.64,4.2142,687.8655
12.66,4.2208,688.3666
12.68,4.2273,688.8539
12.7,4.2342,689.2856
12.72,4.241,689.7898
12.74,4.2476,690.3
12.76,4.2544,690.7871
12.78,4.2609,691.2592
12.8,4.2672,691.6733
12.82,4.2735,692.0464
12.84,4.2802,692.4116
12.86,4.2868,692.8558
12.88,4.2934,693.3169
12.9,4.3004,693.7806
12.92,4.3075,694.2999
12.94,4.3141,694.8431
12.96,4.3208,695.3386
12.98,4.3276,695.8113
13,4.3341,696.2668
13.02,4.3405,696.6803
13.04,4.3474,697.0766
13.06,4.3541,697.5309
13.08,4.3607,698.0235
13.1,4.3677,698.4876
13.12,4.3745,698.9799
13.14,4.381,699.4749
13.16,4.3874,699.9104
13.18,4.394,700.283
13.2,4.4004,700.6609
13.22,4.4068,701.0242
13.24,4.4135,701.3799
13.26,4.4202,701.8307
13.28,4.427,702.3316
13.3,4.4339,702.7953
13.32,4.4409,703.2947
13.34,4.4474,703.8071
13.36,4.454,704.2292
13.38,4.461,704.6468
13.4,4.4676,705.1099
13.42,4.4741,705.548
13.44,4.4809,705.9796
13.46,4.4878,706.4576
13.48,4.4941,706.9139
13.5,4.5009,707.3271
13.52,4.5075,707.7324
13.54,4.5139,708.1525
13.56,4.5202,708.5037
13.58,4.527,708.8704
13.6,4.5336,709.2897
13.62,4.5402,709.7088
13.64,4.5471,710.1534
13.66,4.5541,710.676
13.68,4.5608,711.1923
13.7,4.5675,711.6631
13.72,4.5744,712.1055
13.74,4.5809,712.5332
13.76,4.5874,712.9159
13.78,4.5944,713.316
13.8,4.601,713.7452
13.82,4.6075,714.1806
13.84,4.6141,714.588
13.86,4.6209,714.9992
13.88,4.6274,715.4196
13.9,4.6338,715.7951
13.92,4.6405,716.1443
13.94,4.647,716.5329
13.96,4.6534,716.9312
13.98,4.6602,717.3243
14,4.6671,717.7766
14.02,4.6738,718.2509
14.04,4.6808,718.7296
14.06,4.6876,719.1882
14.08,4.6941,719.6538
14.1,4.7007,720.0657
14.12,4.7076,720.4492
14.14,4.7143,720.8577
14.16,4.7208,721.254
14.18,4.7274,721.6455
14.2,4.7343,722.0357
14.22,4.7409,722.4574
14.24,4.7474,722.8693
14.26,4.7541,723.2365
14.28,4.7605,723.6048
14.3,4.7668,723.9628
14.32,4.7738,724.309
14.34,4.7805,724.7233
14.36,4.787,725.1622
14.38,4.7939,725.5792
14.4,4.801,726.0035
14.42,4.8076,726.4795
14.44,4.8142,726.8978
14.46,4.8212,727.2889
14.48,4.8278,727.7119
14.5,4.8343,728.1011
14.52,4.841,728.4646
14.54,4.8475,728.8653
14.56,4.8539,729.2411
14.58,4.8605,729.5859
14.6,4.8674,729.9606
14.62,4.8739,730.3777
14.64,4.8804,730.7661
14.66,4.8873,731.1237
14.68,4.8936,731.5039
14.7,4.9001,731.8689
14.72,4.907,732.2308
14.74,4.9139,732.6326
14.76,4.9206,733.0737
14.78,4.9274,733.4832
14.8,4.9344,733.9
14.82,4.9411,734.3458
14.84,4.9476,734.7733
14.86,4.9543,735.1472
14.88,4.9608,735.53
14.9,4.9672,735.8991
14.92,4.9738,736.1962
14.94,4.9805,736.5377
14.96,4.987,736.9121
14.98,4.9937,737.2938
15,5.0006,737.6836
15.02,5.0072,738.1079
15.04,5.0137,738.5142
15.06,5.0204,738.8931
15.08,5.027,739.2495
15.1,5.0337,739.6209
15.12,5.0405,739.9698
15.14,5.0476,740.4028
15.16,5.0543,740.8727
15.18,5.061,741.3011
15.2,5.068,741.7363
15.22,5.0744,742.143
15.24,5.0806,742.4968
