Specimen properties : Specimen label,PMMA,
Specimen text inputs : Specimen Name,PMMA,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,2,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
14.88,0.4962,334
14.9,0.497,334.4646
14.92,0.4976,334.9406
14.94,0.4983,335.3763
14.96,0.499,335.8195
14.98,0.4995,336.2315
15,0.5001,336.5838
15.02,0.5007,336.9126
15.04,0.5014,337.2539
15.06,0.502,337.6345
15.08,0.5026,338.0191
15.1,0.5033,338.4184
15.12,0.5037,338.8346
15.14,0.5045,339.2197
15.16,0.5052,339.6152
15.18,0.5059,340.0264
15.2,0.5066,340.4797
15.22,0.5073,340.9823
15.24,0.508,341.4444
15.26,0.5086,341.8749
15.28,0.5093,342.2744
15.3,0.5099,342.6506
15.32,0.5105,343.0446
15.34,0.5111,343.4154
15.36,0.5118,343.7961
15.38,0.5125,344.2395
15.4,0.5132,344.6778
15.42,0.5139,345.1452
15.44,0.5146,345.5998
15.46,0.5152,346.0177
15.48,0.5159,346.4449
15.5,0.5167,346.8917
15.52,0.5174,347.3633
15.54,0.5181,347.8413
15.56,0.5189,348.3304
15.58,0.5196,348.8055
15.6,0.5203,349.2865
15.62,0.521,349.7319
15.64,0.5216,350.1012
15.66,0.5222,350.4959
15.68,0.5227,350.8702
15.7,0.5233,351.2269
15.72,0.524,351.5984
15.74,0.5248,352.0051
15.76,0.5253,352.4279
15.78,0.5259,352.8523
15.8,0.5266,353.2313
15.82,0.5272,353.6206
15.84,0.5279,354.0316
15.86,0.5287,354.4851
15.88,0.5294,354.9203
15.9,0.5301,355.358
15.92,0.5307,355.813
15.94,0.5314,356.2368
15.96,0.532,356.6324
15.98,0.5325,357.0412
16,0.5331,357.4574
16.02,0.5338,357.8419
16.04,0.5346,358.2227
16.06,0.5353,358.6556
16.08,0.5361,359.124
16.1,0.5367,359.5821
16.12,0.5373,360.0114
16.14,0.538,360.4275
16.16,0.5387,360.8619
16.18,0.5395,361.3199
16.2,0.5402,361.8169
16.22,0.5409,362.3136
16.24,0.5416,362.7719
16.26,0.5423,363.2251
16.28,0.5429,363.6805
16.3,0.5436,364.0792
16.32,0.5442,364.4638
16.34,0.5448,364.8671
16.36,0.5454,365.2152
16.38,0.546,365.5606
16.4,0.5467,365.9416
16.42,0.5474,366.3345
16.44,0.548,366.7491
16.46,0.5486,367.1416
16.48,0.5493,367.5237
16.5,0.5499,367.913
16.52,0.5506,368.3191
16.54,0.5513,368.7739
16.56,0.5521,369.2369
16.58,0.5527,369.6858
16.6,0.5534,370.1174
16.62,0.554,370.5398
16.64,0.5547,370.9414
16.66,0.5553,371.3378
16.68,0.5559,371.726
16.7,0.5566,372.0889
16.72,0.5573,372.4844
16.74,0.558,372.933
16.76,0.5586,373.3819
16.78,0.5592,373.8021
16.8,0.5599,374.1553
16.82,0.5606,374.5641
16.84,0.5615,375.0437
16.86,0.5623,375.5982
16.88,0.563,376.1382
16.9,0.5637,376.6407
16.92,0.5644,377.1066
16.94,0.565,377.5295
16.96,0.5657,377.9281
16.98,0.5663,378.3292
17,0.5669,378.695
17.02,0.5675,379.0051
17.04,0.5681,379.324
17.06,0.5688,379.7101
17.08,0.5694,380.1245
17.1,0.5701,380.5402
17.12,0.5707,380.9313
17.14,0.5713,381.3093
17.16,0.572,381.7008
17.18,0.5727,382.1064
17.2,0.5734,382.5473
17.22,0.574,382.9712
17.24,0.5747,383.3785
17.26,0.5753,383.7964
17.28,0.576,384.2163
17.3,0.5766,384.6143
17.32,0.5773,385.0345
17.34,0.5779,385.4235
17.36,0.5785,385.7875
17.38,0.5792,386.1866
17.4,0.5799,386.6235
17.42,0.5807,387.1045
17.44,0.5814,387.5516
17.46,0.582,387.9979
17.48,0.5826,388.4104
17.5,0.5833,388.7882
17.52,0.5841,389.2178
17.54,0.5848,389.7139
17.56,0.5857,390.2086
17.58,0.5864,390.7239
17.6,0.5871,391.1937
17.62,0.5877,391.6428
17.64,0.5884,392.061
17.66,0.589,392.4672
17.68,0.5895,392.8259
17.7,0.59,393.1416
17.72,0.5906,393.4506
17.74,0.5913,393.8197
17.76,0.5919,394.2109
17.78,0.5926,394.6054
17.8,0.5933,395.0384
17.82,0.5939,395.4588
17.84,0.5945,395.8658
17.86,0.5952,396.2656
17.88,0.5958,396.6714
17.9,0.5967,397.0869
17.92,0.5974,397.5334
17.94,0.5981,398.0068
17.96,0.5988,398.4787
17.98,0.5994,398.9216
18,0.6,399.3541
18.02,0.6005,399.7057
18.04,0.6013,400.0183
18.06,0.6018,400.3814
18.08,0.6026,400.8004
18.1,0.6033,401.2372
18.12,0.6039,401.6906
18.14,0.6044,402.0975
18.16,0.6052,402.4524
18.18,0.6059,402.8454
18.2,0.6066,403.2901
18.22,0.6074,403.7964
18.24,0.6081,404.3073
18.26,0.6089,404.8006
18.28,0.6096,405.2949
18.3,0.6103,405.7592
18.32,0.6109,406.201
18.34,0.6116,406.612
18.36,0.6121,407.0117
18.38,0.6128,407.3486
18.4,0.6134,407.6779
18.42,0.6141,408.059
18.44,0.6147,408.4618
18.46,0.6154,408.861
18.48,0.616,409.2565
18.5,0.6166,409.6689
18.52,0.6173,410.0626
18.54,0.6179,410.4475
18.56,0.6186,410.8431
18.58,0.6192,411.2142
18.6,0.6199,411.6447
18.62,0.6206,412.1028
18.64,0.6213,412.5214
18.66,0.6219,412.9173
18.68,0.6226,413.3363
18.7,0.6231,413.7502
18.72,0.6238,414.1093
18.74,0.6245,414.4756
18.76,0.6252,414.8946
18.78,0.626,415.3754
18.8,0.6266,415.8459
18.82,0.6272,416.2614
18.84,0.6279,416.6657
18.86,0.6288,417.1107
18.88,0.6295,417.5746
18.9,0.6302,418.0378
18.92,0.6309,418.4969
18.94,0.6316,418.9418
18.96,0.6323,419.3848
18.98,0.6329,419.8241
19,0.6336,420.2232
19.02,0.6341,420.6146
19.04,0.6347,420.9358
19.06,0.6353,421.2418
19.08,0.636,421.5568
19.1,0.6366,421.9367
19.12,0.6373,422.3363
19.14,0.6379,422.7514
19.16,0.6386,423.1577
19.18,0.6392,423.5833
19.2,0.6399,423.9842
19.22,0.6406,424.4024
19.24,0.6413,424.8495
19.26,0.642,425.2589
19.28,0.6427,425.6825
19.3,0.6434,426.1431
19.32,0.644,426.5716
19.34,0.6447,426.9574
19.36,0.6452,427.3346
19.38,0.6459,427.6701
19.4,0.6466,428.0583
19.42,0.6473,428.4795
19.44,0.648,428.9497
19.46,0.6487,429.3917
19.48,0.6493,429.7851
19.5,0.6499,430.1947
19.52,0.6506,430.5819
19.54,0.6513,430.9793
19.56,0.6521,431.4391
